MacAddress,IpPrivate,IpPublic1,IpPublic2,Value1,Value2,Value3,Value4,Status,Location,DateTime,Description
a47a.a46c.a7f1,192.168.21.192,100.65.114.56,c83a.355b.4e18,36.6,41.2,+7.3,211,online,0/0-0D1C0-U0C0L0,4/13/2016 8:00:03 PM,
145b.d133.f8fb,192.168.31.209,100.65.104.18,6466.b3d8.dfab,39.2,43.9,+9.1,225,online,0/0-0D1C0-U5C0L0,4/13/2016 8:00:03 PM,
0023.ede2.a1ba,192.168.36.33,,,37.4,52.0,+2.9,225,online,0/0-0D1C0-U5C0L0,4/13/2016 8:00:03 PM,
001f.c433.e0b4,192.168.15.11,100.65.110.191,60e3.276e.df8b,36.8,50.0,-2.6,214,online,0/0-12D0C0-U0C0L0,4/13/2016 8:00:03 PM,
0050.bfbb.c25f,192.168.33.96,100.65.108.91,f4f2.6d5b.55af,37.2,44.7,+8.3,224,online,0/0-12D0C0-U5C0L0,4/13/2016 8:00:03 PM,
0026.2496.2034,192.168.23.190,101.99.38.105,c83a.353e.db50,35.9,39.2,-0.9,215,online,0/0-12D0C1-U0C0L0,4/13/2016 8:00:03 PM,
0022.10e5.3c36,192.168.38.29,100.65.105.182,f4f2.6d5b.3559,36.8,40.9,+11.0,230,online,0/0-12D0C1-U5C0L0,4/13/2016 8:00:03 PM,
0021.43df.a33e,192.168.30.180,100.65.98.127,c4e9.848e.545b,33.7,54.0,-9.5,228,online,0/0-12D0C1-U6C0L0,4/13/2016 8:00:03 PM,
001b.ddee.7bda,192.168.17.221,100.65.97.134,c46e.1feb.c447,37.6,50.0,+10.9,230,online,0/0-12D0C2-U5C0L0,4/13/2016 8:00:03 PM,
3c75.4aea.b972,192.168.18.235,100.65.97.9,e894.f69b.60b9,33.0,53.4,-10.3,208,online,0/0-12D0C3-U0C0L0,4/13/2016 8:00:03 PM,
386b.bb15.cb53,192.168.16.27,,,37.3,38.7,-4.0,219,online,1/0-12D1C0-U5C0L0,4/13/2016 8:00:03 PM,
0023.ede2.8666,192.168.39.5,100.65.109.242,50e5.49a4.3585,38.9,51.0,+0.5,233,online,1/0-12D1C2-U3C0L0,4/13/2016 8:00:03 PM,
0023.a328.1376,192.168.29.201,100.65.105.242,c83a.3548.bef8,33.7,55.2,-13.7,229,online,1/0-12D1C3-U5C0L0,4/13/2016 8:00:03 PM,
001b.ddba.e832,192.168.28.244,100.65.101.125,f4f2.6d5b.32e9,36.8,55.2,-3.0,231,online,1/0-1D0C0-U6C0L0,4/13/2016 8:00:03 PM,
a47a.a46c.e630,192.168.14.63,100.65.109.42,f81a.6788.274b,37.1,55.2,-7.7,231,online,1/0-1D1C0-U6C0L0,4/13/2016 8:00:03 PM,
386b.bb15.caf6,192.168.28.137,,,39.6,40.2,+15.1,229,online,10/0-10D1C0-U3C0L0,4/13/2016 8:00:03 PM,
0022.10e4.2e7e,192.168.26.30,100.65.111.41,f4f2.6d5b.536d,36.8,55.2,+2.8,199,online,11/0-11D0C0-U1C0L0,4/13/2016 8:00:03 PM,
0023.ed11.f00a,192.168.26.54,100.65.97.125,c83a.350d.40e8,34.8,51.0,+7.9,233,online,11/0-11D0C0-U1C0L0,4/13/2016 8:00:03 PM,
0023.74fb.14de,192.168.37.97,101.99.38.119,30b5.c2a7.6089,38.1,55.2,+8.5,221,online,11/0-11D0C0-U2C0L0,4/13/2016 8:00:03 PM,
0050.bfbb.b2f9,192.168.13.177,100.65.114.59,f4f2.6df0.e65b,36.4,55.2,+9.7,224,online,11/0-11D0C0-U2C0L0,4/13/2016 8:00:03 PM,
001a.ad97.1f44,192.168.21.58,100.65.111.237,a0f3.c1b2.3cad,38.5,50.0,+2.7,227,online,11/0-11D0C0-U2C0L0,4/13/2016 8:00:03 PM,
0013.7169.638c,192.168.31.197,100.65.104.32,c83a.3551.4680,37.6,46.0,+12.3,175,online,11/0-11D1C0-U0C0L0,4/13/2016 8:00:03 PM,
0023.74fa.24c0,192.168.18.119,100.65.99.175,c8d7.19ec.bb5e,38.5,55.2,+9.9,231,online,11/0-11D1C0-U0C0L0,4/13/2016 8:00:03 PM,
001b.ddd6.f1ac,192.168.30.145,,,37.3,50.0,-2.3,232,online,11/0-11D1C0-U1C0L0,4/13/2016 8:00:03 PM,
0021.43cf.b686,192.168.33.218,100.65.101.106,f4f2.6d5a.f941,37.6,55.0,+2.9,219,online,11/0-11D1C0-U7C0L0,4/13/2016 8:00:03 PM,
0021.43ca.2c52,192.168.14.108,100.65.112.99,c83a.3543.0d20,35.3,42.9,-2.0,234,online,11/0-13D3C0-U1C0L0,4/13/2016 8:00:03 PM,
001a.adae.4e5e,192.168.29.168,100.65.97.64,c83a.3533.d368,35.6,40.9,+2.3,234,online,11/0-13D3C0-U1C0L0,4/13/2016 8:00:03 PM,
e483.9977.67c4,192.168.29.210,100.65.100.86,7828.090e.d3fa,42.2,55.2,+7.9,220,online,11/0-13D3C0-U1C0L0,4/13/2016 8:00:03 PM,
0023.a327.4c74,192.168.12.22,101.99.37.84,c83a.3559.61a8,36.5,49.0,+11.7,232,online,11/0-13D3C0-U1C0L0,4/13/2016 8:00:03 PM,
0023.ed18.3a68,192.168.30.224,100.65.103.139,f4f2.6d5b.2d45,34.7,55.2,-1.3, 202 ,online,11/0-13D3C0-U1C0L0,4/13/2016 8:00:03 PM,
0022.10f2.3b3c,192.168.23.182,,,33.0,55.2,-12.9,218,online,11/0-13D3C0-U6C0L0,4/13/2016 8:00:03 PM,
001a.ad99.9100,192.168.26.240,100.65.97.195,30b5.c2ce.1a73,34.9,55.2,-9.3,226,online,11/0-13D3C1-U1C0L0,4/13/2016 8:00:03 PM,
