MacAddress,IpPrivate,IpPublic1,IpPublic2,Value1,Value2,Value3,Value4,Status,Location,DateTime,Description
001b.ddd8.ccde,192.168.31.70,100.65.100.186,c4e9.848e.abd5,32.6,46.0,-10.2,202,online,0/0-0D0C0-U4C0L0,4/13/2016 7:00:04 PM,
0023.ee14.6a96,192.168.30.15,100.65.97.175,c83a.3511.ec40,36.8,51.0,-1.6,208,online,0/0-0D0C0-U4C0L0,4/13/2016 7:00:04 PM,
001a.ad70.84c0,192.168.13.83,100.65.118.130,9094.e4b3.b997,32.3,45.7,-13.3,208,online,0/0-0D0C0-U4C0L0,4/13/2016 7:00:04 PM,
a47a.a46c.a7f1,192.168.21.192,100.65.114.56,c83a.355b.4e18,36.5,41.2,+6.9,210,online,0/0-0D1C0-U0C0L0,4/13/2016 7:00:04 PM,
0023.ed12.ae24,192.168.11.80,100.65.107.91,c83a.3556.ca68,38.0,47.0,+5.2,213,online,0/0-0D1C0-U4C0L0,4/13/2016 7:00:04 PM,
0023.ede2.a1ba,192.168.36.33,,,37.4,52.0,+2.8,224,online,0/0-0D1C0-U5C0L0,4/13/2016 7:00:04 PM,
145b.d133.f8fb,192.168.31.209,,,38.9,44.4,+9.1,222,online,0/0-0D1C0-U5C0L0,4/13/2016 7:00:04 PM,
001f.c433.e0b4,192.168.15.11,100.65.110.191,60e3.276e.df8b,36.8,50.0,-2.6,215,online,0/0-12D0C0-U0C0L0,4/13/2016 7:00:04 PM,
0014.e869.a00a,192.168.11.56,100.65.97.59,48ee.0c99.7b93,38.0,42.9,+3.5,216,online,0/0-12D0C0-U4C0L0,4/13/2016 7:00:04 PM,
0026.2496.2004,192.168.23.214,100.65.110.199,b0c5.54df.7021,37.6,33.2,+8.9,211,online,0/0-12D0C0-U4C0L0,4/13/2016 7:00:04 PM,
a47a.a46d.7485,192.168.21.103,100.65.97.87,6466.b37f.0219,39.1,43.9,+8.7,211,online,0/0-12D0C0-U4C0L0,4/13/2016 7:00:04 PM,
3c75.4aea.b9ba,192.168.18.146,100.65.97.123,c83a.3509.6aa8,33.9,44.4,-7.2,211,online,0/0-12D0C0-U4C0L0,4/13/2016 7:00:04 PM,
0050.bfbb.c25f,192.168.33.96,100.65.108.91,f4f2.6d5b.55af,37.1,44.7,+8.3,222,online,0/0-12D0C0-U5C0L0,4/13/2016 7:00:04 PM,
0026.2496.2034,192.168.23.190,101.99.38.105,c83a.353e.db50,36.1,39.0,-1.0,205,online,0/0-12D0C1-U0C0L0,4/13/2016 7:00:04 PM,
1c14.48d0.5ac4,192.168.32.119,100.65.97.174,d8fe.e375.a20b,38.3,43.2,-3.9,224,online,0/0-12D0C1-U4C0L0,4/13/2016 7:00:04 PM,
0021.43df.8646,192.168.15.104,100.65.112.159,9094.e4a7.b045,36.7,40.9,-3.1,202,online,0/0-12D0C1-U4C0L0,4/13/2016 7:00:04 PM,
