MacAddress,IpPrivate,IpPublic1,IpPublic2,Value1,Value2,Value3,Value4,Status,Location,DateTime,Description
0023.ede2.30c2,192.168.16.200,100.65.114.58,c83a.3541.54b0,36.8,38.9,-7.1,231,online,0/0-12D0C1-U4C0L0,4/13/2016 7:00:04 PM,
0022.10e5.3c36,192.168.38.29,100.65.105.182,f4f2.6d5b.3559,37.0,40.9,+11.0,227,online,0/0-12D0C1-U5C0L0,4/13/2016 7:00:04 PM,
0021.43df.a33e,192.168.30.180,100.65.98.127,c4e9.848e.545b,33.7,53.0,-9.7,230,online,0/0-12D0C1-U6C0L0,4/13/2016 7:00:04 PM,
0021.43c9.8e8a,192.168.17.102,100.65.114.81,c83a.3524.5300,37.2,40.9,+1.4,203,online,0/0-12D0C2-U0C0L0,4/13/2016 7:00:04 PM,
3c75.4aea.b972,192.168.18.235,100.65.97.9,e894.f69b.60b9,32.7,53.4,-10.3,209,online,0/0-12D0C3-U0C0L0,4/13/2016 7:00:04 PM,
001b.ddc1.07a0,192.168.14.109,100.65.108.76,c83a.3533.9a10,37.6,39.9,+9.7,201,online,0/0-12D0C3-U4C0L0,4/13/2016 7:00:04 PM,
0023.a328.1376,192.168.29.201,100.65.105.242,c83a.3548.bef8,33.6,55.2,-13.4,227,online,1/0-12D1C3-U5C0L0,4/13/2016 7:00:04 PM,
0023.ede2.d538,192.168.11.81,100.65.100.183,c83a.3542.40c8,37.8,36.9,-1.6,217,online,1/0-12D1C3-U6C0L0,4/13/2016 7:00:04 PM,
001b.ddba.e832,192.168.28.244,100.65.101.125,f4f2.6d5b.32e9,38.4,55.2,-2.7,232,online,1/0-1D0C0-U6C0L0,4/13/2016 7:00:04 PM,
001b.ddc8.fa0c,192.168.10.142,100.65.103.184,c83a.3554.78c0,36.8,35.9,+8.9,234,online,1/0-1D1C0-U6C0L0,4/13/2016 7:00:04 PM,
a47a.a46c.e630,192.168.14.63,100.65.109.42,f81a.6788.274b,37.1,55.2,-7.6,227,online,1/0-1D1C0-U6C0L0,4/13/2016 7:00:04 PM,
0013.7169.638c,192.168.31.197,100.65.104.32,c83a.3551.4680,37.0,45.0,+11.8,179,online,11/0-11D0C0-U0C0L0,4/13/2016 7:00:04 PM,
0022.10e3.e408,192.168.33.228,100.65.115.6,d8fe.e3f6.14a7,33.9,50.0,+1.2,232,online,11/0-11D0C0-U1C0L0,4/13/2016 7:00:04 PM,
0023.ed11.f00a,192.168.26.54,100.65.97.125,c83a.350d.40e8,34.8,52.0,+8.3,233,online,11/0-11D0C0-U1C0L0,4/13/2016 7:00:04 PM,
0023.74fb.14de,192.168.37.97,101.99.38.119,30b5.c2a7.6089,38.5,55.2,+8.5,214,online,11/0-11D0C0-U2C0L0,4/13/2016 7:00:04 PM,
001a.ad97.1f44,192.168.21.58,100.65.111.237,a0f3.c1b2.3cad,38.4,49.0,+1.6,230,online,11/0-11D0C0-U2C0L0,4/13/2016 7:00:04 PM,
0050.bfbb.ce3b,192.168.15.207,100.65.98.36,30b5.c2a9.c2f9,30.4,41.6,-7.3,232,online,11/0-11D0C0-U3C0L0,4/13/2016 7:00:04 PM,
0023.74fa.24c0,192.168.18.119,100.65.99.175,c8d7.19ec.bb5e,38.5,55.2,+9.9,223,online,11/0-11D1C0-U0C0L0,4/13/2016 7:00:04 PM,
e483.9977.67c4,192.168.29.210,100.65.100.86,7828.090e.d3fa,39.8,55.2,+9.1,218,online,11/0-11D1C0-U1C0L0,4/13/2016 7:00:04 PM,
001a.ad99.9100,,100.65.97.195,30b5.c2ce.1a73,35.2,55.2,-6.9,230,online,11/0-11D1C0-U1C0L0,4/13/2016 7:00:04 PM,
0013.7169.6faa,192.168.30.234,100.65.103.97,f4f2.6d5b.14f7,34.5,39.9,-1.8,232,online,11/0-11D1C0-U1C0L0,4/13/2016 7:00:04 PM,
0026.2496.2148,192.168.26.10,100.65.97.198,f81a.67d3.f65d,32.6,42.4,-14.6,221,online,11/0-11D1C0-U3C0L0,4/13/2016 7:00:04 PM,
0022.10e4.2e7e,192.168.26.30,100.65.111.41,f4f2.6d5b.536d,37.2,55.2,+2.3,197,online,11/0-13D3C0-U1C0L0,4/13/2016 7:00:04 PM,
0023.a327.4c74,192.168.12.22,101.99.37.84,c83a.3559.61a8,36.2,49.0,+12.1,233,online,11/0-13D3C0-U1C0L0,4/13/2016 7:00:04 PM,
0023.ed18.3a68,192.168.30.224,100.65.103.139,f4f2.6d5b.2d45,34.8,55.2,-1.4,199,online,11/0-13D3C0-U1C0L0,4/13/2016 7:00:04 PM,
0023.a2c7.ef06,192.168.25.183,100.65.103.77,0024.a59f.9763,35.3,32.9,+9.7,232,online,11/0-13D3C1-U1C0L0,4/13/2016 7:00:04 PM,
0013.7173.34fc,192.168.28.117,100.65.100.24,c4e9.8489.3c0d,33.1,45.0,+0.9,234,online,11/0-13D3C1-U1C0L0,4/13/2016 7:00:04 PM,
001b.ddc2.acf0,192.168.27.149,100.65.116.152,f4f2.6d3a.97e3,37.8,47.0,+3.3,233,online,11/0-13D3C1-U1C0L0,4/13/2016 7:00:04 PM,
0023.ede4.061e,192.168.26.157,100.65.106.219,c46e.1fe3.6525,35.8,53.0,-4.7,233,online,11/0-13D3C1-U1C0L0,4/13/2016 7:00:04 PM,
001b.ddcb.908e,192.168.19.103,100.65.106.243,c83a.3549.2fa0,38.6,49.0,+11.1,225,online,11/0-13D3C1-U2C0L0,4/13/2016 7:00:04 PM,
0023.ed19.1cb8,192.168.36.36,100.65.107.76,f4f2.6d5a.f925,34.0,47.0,+0.7,234,online,11/0-13D3C2-U1C0L0,4/13/2016 7:00:04 PM,
0023.edda.26a4,192.168.14.45,,,37.8,45.0,-8.9,232,online,11/0-13D3C2-U1C0L0,4/13/2016 7:00:04 PM,
0023.ede2.b126,192.168.19.246,100.65.118.219,c83a.3514.d8d8,34.5,38.9,+4.8,234,online,11/0-13D3C2-U1C0L0,4/13/2016 7:00:04 PM,
145b.d133.f9fb,192.168.15.28,100.65.103.143,c83a.3519.ec88,35.4,55.2,+7.3,227,online,11/0-13D3C2-U1C0L0,4/13/2016 7:00:04 PM,
001b.ddba.ef4c,192.168.27.169,100.65.109.181,c83a.3533.eec0,40.0,41.9,+10.5,199,online,11/0-13D3C2-U2C0L0,4/13/2016 7:00:04 PM,
001b.ddd3.4b62,192.168.26.25,100.65.108.245,f4f2.6d6b.7bb3,37.6,49.0,-4.8,225,online,11/0-13D3C2-U7C0L0,4/13/2016 7:00:04 PM,
001b.ddc2.d6e4,192.168.29.193,100.65.99.66,f4f2.6d5b.3317,38.6,55.2,+8.1,211,online,11/0-13D3C3-U0C0L0,4/13/2016 7:00:04 PM,
0026.2496.1f6a,192.168.11.105,100.65.98.172,c04a.00ec.1eed,40.0,51.4,+2.5,203,online,11/0-13D3C3-U0C0L0,4/13/2016 7:00:04 PM,
0014.e867.c880,192.168.13.31,100.65.99.221,60e3.2794.f4cd,36.1,50.0,+2.0,234,online,11/0-13D3C3-U1C0L0,4/13/2016 7:00:04 PM,
001a.ad8e.7320,192.168.26.63,100.65.97.38,6466.b37f.0923,30.1,44.0,+6.0,228,online,11/0-13D3C3-U1C0L0,4/13/2016 7:00:04 PM,
0013.7168.4c98,192.168.38.22,100.65.108.66,30b5.c2a7.5281,30.8,36.9,-16.3,234,online,11/0-13D3C3-U1C0L0,4/13/2016 7:00:04 PM,
0021.43df.1cce,192.168.36.66,100.65.110.252,f4f2.6d6b.70cb,34.7,55.2,-7.0,222,online,11/0-13D3C3-U1C0L0,4/13/2016 7:00:04 PM,
0023.ed14.d216,192.168.23.137,100.65.102.251,c83a.350b.d4b8,38.4,55.2,+3.4,219,online,11/0-13D3C3-U1C0L0,4/13/2016 7:00:04 PM,
0023.a328.11d8,192.168.32.241,100.65.109.212,60e3.2747.0a78,34.7,50.0,-4.4,233,online,11/0-13D3C3-U1C0L0,4/13/2016 7:00:04 PM,
001a.adab.00d0,192.168.30.64,100.65.109.178,e894.f6eb.2fed,35.2,55.2,-12.0,234,online,11/0-13D3C3-U5C0L0,4/13/2016 7:00:04 PM,
001a.adae.4e5e,192.168.29.168,100.65.97.64,c83a.3533.d368,34.6,40.9,-1.3,234,online,11/0-13D7C0-U1C0L0,4/13/2016 7:00:04 PM,
0021.43e7.b52a,192.168.33.184,100.65.103.167,f4f2.6d5b.7301,34.6,45.0,-0.4,232,online,11/0-13D7C0-U1C0L0,4/13/2016 7:00:04 PM,
0022.10e5.ae60,192.168.27.251,100.65.114.163,c83a.3533.c738,35.2,52.0,-10.9,233,online,11/0-13D7C0-U1C0L0,4/13/2016 7:00:04 PM,
001a.ada2.61f6,192.168.32.131,100.65.100.32,0022.6b47.510d,35.4,45.0,-4.3,233,online,11/0-13D7C0-U1C0L0,4/13/2016 7:00:04 PM,
0021.43cf.b7fa,192.168.14.72,101.99.38.98,c83a.3543.0e48,38.6,45.0,+5.3,234,online,11/0-13D7C0-U1C0L0,4/13/2016 7:00:04 PM,
001b.ddb8.67c4,192.168.18.143,100.65.101.210,c83a.3546.4518,38.7,54.0,+4.9,200,online,11/0-13D7C0-U2C0L0,4/13/2016 7:00:04 PM,
0021.43cf.b686,192.168.33.218,100.65.101.106,f4f2.6d5a.f941,37.8,55.0,-0.9,220,online,11/0-13D7C0-U7C0L0,4/13/2016 7:00:04 PM,
0019.5e28.be3a,192.168.12.77,100.65.110.101,30b5.c2f1.b1d1,36.2,55.2,+4.0,226,online,2/0-12D2C0-U4C0L0,4/13/2016 7:00:04 PM,
0021.43e1.6ea4,192.168.35.40,100.65.111.224,c83a.3542.26e8,34.1,50.0,+0.0,189,online,2/0-12D2C0-U4C0L0,4/13/2016 7:00:04 PM,
a47a.a46f.b489,192.168.13.156,100.65.115.92,c83a.350e.d5f8,36.6,49.7,-6.5,232,online,2/0-12D2C0-U4C0L0,4/13/2016 7:00:04 PM,
e483.9977.667b,192.168.36.41,100.65.103.103,c83a.3525.b2d0,33.9,49.7,-5.2,194,online,2/0-12D2C1-U2C0L0,4/13/2016 7:00:04 PM,
0023.ed12.3cf6,,100.65.111.185,e894.f6e7.628f,36.1,45.0,+2.1,233,online,2/0-12D2C1-U4C0L0,4/13/2016 7:00:04 PM,
0023.edd4.1822,192.168.13.161,101.99.38.40,14cc.203d.01d1,33.7,45.0,-11.4,230,online,2/0-12D2C1-U4C0L0,4/13/2016 7:00:04 PM,
386b.bb15.c8ea,192.168.21.217,100.65.108.33,0022.b08f.b844,33.2,50.4,-13.6,231,online,2/0-12D2C1-U4C0L0,4/13/2016 7:00:04 PM,
0022.10e4.ecbc,192.168.36.35,100.65.99.98,a0d3.c11b.b24e,36.3,37.9,-2.0,227,online,2/0-12D2C2-U4C0L0,4/13/2016 7:00:04 PM,
0023.ed1d.dc12,192.168.13.23,100.65.116.245,a42b.b0ac.724f,35.9,55.2,+2.9,234,online,2/0-12D2C2-U6C0L0,4/13/2016 7:00:04 PM,
001b.ddd8.662a,192.168.28.187,,,34.8,55.2,-5.9,208,online,2/0-12D2C3-U4C0L0,4/13/2016 7:00:04 PM,
3c75.4aea.bcf3,192.168.32.164,100.65.112.59,c83a.3534.2298,34.9,39.4,-12.4,220,online,2/0-12D2C3-U4C0L0,4/13/2016 7:00:04 PM,
0023.ed18.4644,192.168.14.99,100.65.102.100,f81a.67dd.df65,37.1,55.2,+2.4,222,online,2/0-2D0C0-U1C0L0,4/13/2016 7:00:04 PM,
0023.ee03.f1c8,192.168.20.27,100.65.101.32,c83a.3542.eaf0,35.9,50.0,-5.2,229,online,2/0-2D0C0-U4C0L0,4/13/2016 7:00:04 PM,
0023.74f9.7696,192.168.15.241,100.65.103.137,0810.7784.f3cd,37.5,47.0,+11.6,231,online,2/0-2D0C0-U4C0L0,4/13/2016 7:00:04 PM,
a47a.a46c.ec80,192.168.29.84,,,35.3,39.7,+1.0,228,online,2/0-2D0C0-U4C0L0,4/13/2016 7:00:04 PM,
e483.9977.685f,192.168.24.95,100.65.103.80,b048.7ac2.5fc1,36.9,46.9,-2.3,231,online,2/0-2D0C0-U4C0L0,4/13/2016 7:00:04 PM,
0023.edd2.5982,192.168.13.122,100.65.106.68,c83a.3502.ab40,35.8,55.2,-6.3,233,online,2/0-2D0C0-U6C0L0,4/13/2016 7:00:04 PM,
0023.edd2.6954,,100.65.98.209,30b5.c2a7.5ff7,34.0,40.9,+7.0,218,online,2/0-2D1C0-U3C0L0,4/13/2016 7:00:04 PM,
000e.092e.e91d,192.168.35.142,100.65.114.227,c83a.3542.3170,33.6,60.9,-3.0,221,online,2/0-2D1C0-U3C0L0,4/13/2016 7:00:04 PM,
0023.ede2.9488,192.168.36.100,100.65.101.60,c46e.1fe2.ec87,36.4,41.9,+1.7,231,online,2/0-2D1C0-U4C0L0,4/13/2016 7:00:04 PM,
0023.ed16.1622,192.168.15.62,100.65.108.247,b0c5.54d8.769d,36.1,53.0,-3.8,224,online,2/0-2D1C0-U4C0L0,4/13/2016 7:00:04 PM,
0023.ed1d.e9e6,192.168.17.6,100.65.100.119,c83a.354a.5778,35.4,55.2,+8.9,217,online,2/0-2D1C0-U6C0L0,4/13/2016 7:00:04 PM,
145b.d133.fbf9,192.168.37.37,100.65.99.166,f4f2.6d5b.34a3,38.2,51.4,+3.3,230,online,3/0-12D3C0-U2C0L0,4/13/2016 7:00:04 PM,
145b.d133.f4ac,192.168.33.117,100.65.100.199,f4f2.6d5b.55a1,33.4,38.9,+7.6,232,online,3/0-12D3C0-U3C0L0,4/13/2016 7:00:04 PM,
145b.d133.f6c3,192.168.31.24,100.65.107.165,c83a.353e.4c78,34.0,42.9,+6.7,233,online,3/0-12D3C0-U3C0L0,4/13/2016 7:00:04 PM,
0015.2f8d.bce6,192.168.15.107,100.65.98.4,f81a.6788.b413,33.8,42.0,+10.7,227,online,3/0-12D3C0-U3C0L0,4/13/2016 7:00:04 PM,
001a.ad93.0d5a,192.168.15.136,100.65.100.60,c83a.3543.08d0,36.1,55.2,+1.5,231,online,3/0-12D3C1-U2C0L0,4/13/2016 7:00:04 PM,
0050.bfbb.b947,192.168.10.50,,,34.8,45.7,+4.0,231,online,3/0-12D3C1-U3C0L0,4/13/2016 7:00:04 PM,
0021.43e0.ef78,192.168.37.5,100.65.99.11,f4f2.6d5a.f49f,33.1,44.0,+7.7,232,online,3/0-12D3C1-U3C0L0,4/13/2016 7:00:04 PM,
0019.5e38.9fac,192.168.29.121,101.99.38.112,f4f2.6d5b.332f,33.5,44.0,-0.9,231,online,3/0-12D3C1-U3C0L0,4/13/2016 7:00:04 PM,
0023.74f9.788e,192.168.19.252,100.65.97.254,30b5.c288.2565,36.2,48.0,-0.6,223,online,3/0-12D3C2-U2C0L0,4/13/2016 7:00:04 PM,
1c14.48d0.589c,192.168.33.79,100.65.103.107,c83a.3539.37b0,32.1,55.2,+0.8,233,online,3/0-12D3C2-U2C0L0,4/13/2016 7:00:04 PM,
0021.43d1.76dc,192.168.24.184,100.65.114.128,f8d1.1180.19e3,35.1,55.2,+0.0,204,online,3/0-12D3C2-U3C0L0,4/13/2016 7:00:04 PM,
001a.ada6.29d0,192.168.12.223,100.65.110.95,30b5.c2f1.adbf,36.2,51.0,+9.4,220,online,3/0-12D3C3-U1C0L0,4/13/2016 7:00:04 PM,
386b.bbdd.7340,192.168.33.168,100.65.105.97,940c.6dad.b363,32.9,55.2,-10.5,221,online,3/0-12D3C3-U2C0L0,4/13/2016 7:00:04 PM,
0015.2f8c.4cd6,192.168.27.131,101.99.38.127,c83a.3553.22e8,35.5,53.1,+0.0,221,online,3/0-12D3C3-U2C0L0,4/13/2016 7:00:04 PM,
001a.ad9c.a660,192.168.29.246,,,35.6,36.9,-8.9,233,online,3/0-12D3C3-U3C0L0,4/13/2016 7:00:04 PM,
3c75.4aea.bb2d,192.168.27.108,100.65.100.104,f81a.67df.d5d1,31.5,55.2,-3.2,225,online,3/0-12D3C3-U3C0L0,4/13/2016 7:00:04 PM,
000e.092e.e985,192.168.34.17,100.65.111.172,c83a.351d.4c50,34.1,47.8,-1.5,223,online,3/0-12D3C3-U3C0L0,4/13/2016 7:00:04 PM,
0023.edd2.bf8e,192.168.25.53,100.65.109.73,c83a.3520.6460,38.1,41.9,+3.3,231,online,3/0-3D0C0-U2C0L0,4/13/2016 7:00:04 PM,
0021.43ea.f952,192.168.31.187,100.65.115.36,c83a.3556.20e8,36.5,55.2,-2.2,216,online,3/0-3D1C0-U3C0L0,4/13/2016 7:00:04 PM,
0022.10e4.3a2a,192.168.12.239,100.65.107.10,30b5.c2a7.5161,35.4,44.0,-1.4,232,online,3/0-3D1C0-U3C0L0,4/13/2016 7:00:04 PM,
0019.5e3c.d5a2,192.168.27.127,100.65.107.125,30b5.c2f1.f8d9,34.3,37.9,-5.9,231,online,3/0-3D1C0-U5C0L0,4/13/2016 7:00:04 PM,
0021.43ce.8852,192.168.11.75,100.65.101.191,c83a.3504.e8d8,33.3,49.0,-11.0,82 ,online,3/0-3D1C0-U6C0L0,4/13/2016 7:00:04 PM,
001b.ddc3.4cce,192.168.28.153,100.65.99.42,c4e9.848e.9a6f,31.2,50.0,-12.8,232,online,4/0-12D4C0-U2C0L0,4/13/2016 7:00:04 PM,
0050.bfbb.b1cd,192.168.12.176,100.65.103.219,c83a.3508.e7e0,34.7,42.6,-1.7,227,online,4/0-12D4C0-U2C0L0,4/13/2016 7:00:04 PM,
0021.43d8.e506,192.168.34.201,,,37.0,45.0,-3.5,216,online,4/0-12D4C0-U5C0L0,4/13/2016 7:00:04 PM,
001b.ddc4.0a76,192.168.22.175,100.65.98.110,c83a.354a.d7d0,36.1,55.2,-7.2,223,online,4/0-12D4C0-U5C0L0,4/13/2016 7:00:04 PM,
0021.43c8.43b8,192.168.23.116,100.65.107.106,20aa.4b05.517f,36.9,45.0,+3.7,232,online,4/0-12D4C0-U5C0L0,4/13/2016 7:00:04 PM,
0019.5e25.9512,192.168.12.245,100.65.102.129,f4f2.6d6b.7bc1,35.0,41.9,+3.5,231,online,4/0-12D4C1-U2C0L0,4/13/2016 7:00:04 PM,
001a.ad70.8414,192.168.13.60,,,35.8,51.9,-9.9,231,online,4/0-12D4C2-U1C0L0,4/13/2016 7:00:04 PM,
0021.43cd.e7d8,192.168.24.2,100.65.117.33,c83a.3538.b5e8,35.6,41.9,+7.7,232,online,4/0-12D4C2-U2C0L0,4/13/2016 7:00:04 PM,
001a.ad8c.177e,192.168.24.8,100.65.115.90,c83a.354a.6e70,32.1,55.2,-13.5,210,online,4/0-12D4C2-U5C0L0,4/13/2016 7:00:04 PM,
0013.7168.56b8,192.168.14.114,100.65.115.112,c83a.351d.c7b8,35.4,55.2,-2.5,204,online,4/0-12D4C3-U2C0L0,4/13/2016 7:00:04 PM,
0023.edd8.2658,192.168.32.218,100.65.97.17,f4f2.6d5b.5699,35.3,55.2,-8.9,222,online,4/0-12D4C3-U2C0L0,4/13/2016 7:00:04 PM,
0050.bfbb.ce1a,192.168.15.186,100.65.99.140-100.65.102.231,c83a.353e.f278-10fe.edd0.da41,35.4,45.7,+3.9,234,online,4/0-12D4C3-U2C0L0,4/13/2016 7:00:04 PM,
145b.d133.fb0d,192.168.33.194,100.65.102.51,689c.703a.75cf,33.7,55.2,+0.7,220,online,4/0-12D4C3-U2C0L0,4/13/2016 7:00:04 PM,
0021.43e8.aed2,192.168.29.60,101.99.38.110,c46e.1f47.3e9f,36.5,25.8,+3.4,214,online,5/0-13D0C0-U4C0L0,4/13/2016 7:00:04 PM,
0023.ed1c.d7f6,192.168.26.202,,,38.7,37.9,+7.9,212,online,5/0-13D0C0-U4C0L0,4/13/2016 7:00:04 PM,
a47a.a46d.753d,192.168.18.127,100.65.105.82,c83a.3512.c5d8,35.8,36.9,-7.8,214,online,5/0-13D0C0-U4C0L0,4/13/2016 7:00:04 PM,
e483.9977.6620,192.168.23.133,100.65.114.222,74ea.3ae3.6d53,39.2,43.4,-6.4,215,online,5/0-13D0C0-U4C0L0,4/13/2016 7:00:04 PM,
000e.092e.e795,192.168.23.215,101.99.38.139,90f6.522f.fa65,32.9,60.9,-9.1,223,online,5/0-13D0C1-U7C0L0,4/13/2016 7:00:04 PM,
0022.10e1.2812,192.168.30.82,100.65.102.228,c83a.3534.e3c8,34.9,32.9,-2.4,214,online,5/0-13D0C2-U4C0L0,4/13/2016 7:00:04 PM,
0022.10f2.3fe0,192.168.20.217,100.65.98.200,6c19.8f51.8693,38.5,37.9,+6.6,210,online,5/0-13D0C2-U4C0L0,4/13/2016 7:00:04 PM,
0019.5e25.41a2,192.168.13.75,100.65.99.27,c0a0.bb7e.c1ca,34.5,38.9,-12.6,213,online,5/0-13D0C2-U4C0L0,4/13/2016 7:00:04 PM,
386b.bb15.ca86,192.168.38.26,100.65.107.74,b0c7.451a.2c40,40.5,34.7,+0.0,216,online,5/0-13D0C2-U4C0L0,4/13/2016 7:00:04 PM,
0026.2496.1ede,192.168.20.200,100.65.108.58,c83a.3524.5820,34.7,31.4,-9.7,211,online,5/0-13D0C2-U4C0L0,4/13/2016 7:00:04 PM,
001b.ddd2.40a4,192.168.30.51,100.65.99.190,e8de.27f5.341d,36.0,35.9,+2.5,214,online,5/0-13D0C2-U4C0L0,4/13/2016 7:00:04 PM,
145b.d133.fcce,192.168.37.186,,,40.5,28.7,+5.8,213,online,5/0-13D0C3-U4C0L0,4/13/2016 7:00:04 PM,
0026.2496.1fd2,192.168.26.242,100.65.109.253,c83a.3524.75d8,31.0,35.7,-19.4,214,online,5/0-13D0C3-U4C0L0,4/13/2016 7:00:04 PM,
0026.2496.1fec,192.168.27.123,100.65.112.206,c83a.3524.0680,36.4,33.4,-5.5,215,online,5/0-13D0C3-U4C0L0,4/13/2016 7:00:04 PM,
a47a.a46c.e41f,192.168.21.23,100.65.102.118,c83a.353b.c338,40.5,35.9,+3.1,214,online,5/0-13D0C3-U4C0L0,4/13/2016 7:00:04 PM,
0019.5e1a.29bc,192.168.30.114,100.65.106.4,f81a.6788.3c33,36.8,35.9,-4.8,211,online,5/0-13D0C3-U4C0L0,4/13/2016 7:00:04 PM,
0019.5e39.e1d8,192.168.35.51,,,37.0,27.8,+1.4,217,online,5/0-5D0C0-U4C0L0,4/13/2016 7:00:04 PM,
0023.ed16.76e2,192.168.15.195,100.65.115.100,c83a.3512.6598,36.6,39.9,-4.2,214,online,5/0-5D0C0-U4C0L0,4/13/2016 7:00:04 PM,
145b.d133.fa8b,192.168.28.21,100.65.102.113,c83a.3556.0b88,39.2,29.9,+17.8,211,online,5/0-5D0C0-U4C0L0,4/13/2016 7:00:04 PM,
386b.bb15.ca19,192.168.11.67,100.65.111.21,c83a.3535.efa8,36.7,52.9,-3.5,230,online,5/0-5D1C0-U2C0L0,4/13/2016 7:00:04 PM,
386b.bb15.c8a2,192.168.25.124,100.65.100.171,30b5.c2cd.f034,37.5,35.4,+2.2,214,online,5/0-5D1C0-U4C0L0,4/13/2016 7:00:04 PM,
0021.43e5.3576,192.168.32.223,100.65.98.32,c83a.3503.b900,37.6,41.9,+2.6,214,online,5/0-5D1C0-U4C0L0,4/13/2016 7:00:04 PM,
145b.d133.f91e,192.168.35.222,100.65.99.188,b0c7.4573.6584,34.9,55.2,-6.5,229,online,9/0-13D1C0-U1C0L0,4/13/2016 7:00:04 PM,
0023.a326.c14e,192.168.16.210,100.65.102.196,c83a.352f.3ca0,33.8,44.0,+2.1,216,online,9/0-13D1C0-U4C0L0,4/13/2016 7:00:04 PM,
0023.a2c8.0c9a,192.168.26.27,100.65.117.216,c83a.354d.2450,34.5,40.9,+3.7,232,online,9/0-13D1C0-U6C0L0,4/13/2016 7:00:04 PM,
145b.d133.f81f,192.168.30.109,100.65.99.82,6466.b3a0.ac7f,32.5,38.7,-5.4,234,online,9/0-13D1C1-U6C0L0,4/13/2016 7:00:04 PM,
0026.2496.21ec,192.168.26.47,100.65.102.91,f81a.67d4.3953,31.7,37.4,-12.5,229,online,9/0-13D1C2-U6C0L0,4/13/2016 7:00:04 PM,
145b.d133.fb2d,192.168.29.166,100.65.100.88,98fc.11c0.06e3,32.2,43.7,+1.9,197,online,9/0-13D1C3-U4C0L0,4/13/2016 7:00:04 PM,
0021.43d1.e264,192.168.35.6,100.65.104.81,e894.f63c.398d,35.1,45.0,+1.3,230,online,9/0-13D1C3-U4C0L0,4/13/2016 7:00:04 PM,
3c75.4aea.bbcf,192.168.15.183,100.65.118.22,60e3.2746.f2eb,36.6,53.9,-0.2,229,online,9/0-13D1C3-U5C0L0,4/13/2016 7:00:04 PM,
0014.e868.d944,192.168.13.229,100.65.109.245,c83a.3545.6d80,35.4,55.2,-3.8,224,online,9/0-13D5C0-U2C0L0,4/13/2016 7:00:04 PM,
000e.0923.a01d,192.168.10.59,100.65.104.166,c83a.3542.dfc8,31.8,45.7,+15.8,196,online,9/0-13D5C0-U4C0L0,4/13/2016 7:00:04 PM,
